Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
France,97.9,88.4,11.9,,4.6,36.0,30.0,9.0,0.3,74.0,26.0,0.1,0.1,83.0,4.8
French Polynesia,,,,,3.0,,,22.0,,,,,,,19.5
Gabon,,,43.7,37.0,2.8,,,525.0,3.8,31.0,69.0,0.5,1.9,67.0,6.0
Gambia,,,32.6,34.8,0.3,31.0,1.0,174.0,1.9,39.0,61.0,0.2,0.6,29.0,1.9
Georgia,80.0,27.2,21.8,,2.4,56.0,5.0,80.0,0.4,68.0,32.0,0.1,0.1,49.0,5.8
Germany,99.8,97.2,11.9,,8.9,33.0,28.0,7.0,0.1,80.0,20.0,0.1,0.1,80.0,10.4
Ghana,36.4,,36.3,37.9,0.5,8.0,0.0,148.0,1.7,33.0,67.0,0.4,1.0,34.0,2.5
Greece,100.0,90.4,16.3,,6.2,52.0,35.0,5.0,,,,,,,4.7
Greenland,96.7,94.8,11.6,,9.0,,,100.0,,,,,,,2.1
Grenada,87.1,,22.9,,2.2,,,2.0,,,,,,,10.7
Guam,99.5,,11.7,,,,,49.0,,,,,,,18.7
Guatemala,56.0,,23.8,34.5,1.2,,,26.0,0.4,57.0,43.0,0.1,0.1,43.0,10.0
Guinea,,,24.8,43.3,0.2,,,176.0,1.4,38.0,62.0,0.3,0.8,40.0,2.4
Guinea_Bissau,,,29.6,82.3,0.2,,,361.0,3.5,39.0,61.0,0.9,1.4,33.0,2.4
Guyana,,,22.4,33.1,2.6,,,83.0,1.4,52.0,48.0,0.3,0.4,68.0,11.6
Haiti,,,15.1,74.4,0.3,23.0,3.0,176.0,2.0,42.0,58.0,0.5,1.1,58.0,6.7
Honduras,,,21.1,27.5,1.1,,2.0,37.0,0.3,60.0,40.0,0.2,0.1,50.0,7.3
Hungary,89.6,95.7,15.9,,4.3,35.0,27.0,6.0,0.1,84.0,16.0,0.1,0.1,56.0,6.9
Iceland,100.0,81.8,6.6,,6.1,15.0,14.0,3.0,0.1,74.0,26.0,0.1,0.1,79.0,5.8
India,,,89.7,24.0,1.7,21.0,2.0,199.0,,,,,,,10.4
Indonesia,,,16.4,21.8,1.8,76.0,3.0,316.0,0.4,64.0,36.0,0.3,0.2,17.0,6.3
Iran,91.8,,38.8,,8.4,21.0,1.0,14.0,0.1,75.0,25.0,0.1,0.1,20.0,9.6
Iraq,58.8,41.1,64.0,47.2,4.9,,,42.0,,,,,,,8.8
Ireland,97.3,82.4,8.3,,7.3,26.0,23.0,7.0,0.2,66.0,34.0,0.1,0.1,80.0,3.2
Isle of Man,97.2,,,,,,,,,,,,,,
